week_number,year,from_date,to_date
1,2020,2019-12-30,2020-01-05
2,2020,2020-01-06,2020-01-12
3,2020,2020-01-13,2020-01-19
4,2020,2020-01-20,2020-01-26
5,2020,2020-01-27,2020-02-02
6,2020,2020-02-03,2022-02-09
7,2020,2020-02-10,2020-02-16
8,2020,2020-02-17,2020-02-23
9,2020,2020-02-24,2020-03-01
10,2020,2020-03-02,2020-03-08
11,2020,2020-03-09,2020-03-15
12,2020,2020-03-16,2020-03-22
13,2020,2020-03-23,2020-03-29
14,2020,2020-03-30,2020-04-05
15,2020,2020-04-06,2020-04-12
16,2020,2020-04-13,2020-04-19
17,2020,2020-04-20,2020-04-26
18,2020,2020-04-27,2020-05-03
19,2020,2020-05-04,2020-05-10
20,2020,2020-05-11,2020-05-17
21,2020,2020-05-18,2020-05-24
22,2020,2020-05-25,2020-05-31
23,2020,2020-06-01,2020-06-07
24,2020,2020-06-08,2020-06-14
25,2020,2020-06-15,2020-06-21
26,2020,2020-06-22,2020-06-28
27,2020,2020-06-29,2020-07-05
28,2020,2020-07-06,2020-07-12
29,2020,2020-07-13,2020-07-19
30,2020,2020-07-20,2020-07-26
31,2020,2020-07-27,2020-08-02
32,2020,2020-08-03,2020-08-09
33,2020,2020-08-10,2020-08-16
34,2020,2020-08-17,2020-08-23
35,2020,2020-08-24,2020-08-30
36,2020,2020-08-31,2020-09-06
37,2020,2020-09-07,2020-09-13
38,2020,2020-09-14,2020-09-20
39,2020,2020-09-21,2020-09-27
40,2020,2020-09-28,2020-10-04
41,2020,2020-10-05,2020-10-11
42,2020,2020-10-12,2020-10-18
43,2020,2020-10-19,2020-10-25
44,2020,2020-10-26,2020-11-01
45,2020,2020-11-02,2020-11-08
46,2020,2020-11-09,2020-11-15
47,2020,2020-11-16,2020-11-22
48,2020,2020-11-23,2020-11-29
49,2020,2020-11-30,2020-12-06
50,2020,2020-12-07,2020-12-13
51,2020,2020-12-14,2020-12-20
52,2020,2020-12-21,2020-12-27
53,2020,2020-12-28,2020-01-03
1,2021,2021-01-04,2021-01-10
2,2021,2021-01-11,2021-01-17
3,2021,2021-01-18,2021-01-24
4,2021,2021-01-25,2021-01-31
5,2021,2021-02-01,2021-02-07
6,2021,2021-02-08,2021-02-14
7,2021,2021-02-15,2021-02-21
8,2021,2021-02-22,2021-02-28
9,2021,2021-03-01,2021-03-07
10,2021,2021-03-08,2021-03-14
11,2021,2021-03-15,2021-03-21
12,2021,2021-03-22,2021-03-28
13,2021,2021-03-29,2021-04-04
14,2021,2021-04-05,2021-04-11
15,2021,2021-04-12,2021-04-18
16,2021,2021-04-19,2021-04-25
17,2021,2021-04-26,2021-05-02
18,2021,2021-05-03,2021-05-09
19,2021,2021-05-10,2021-05-16
20,2021,2021-05-17,2021-05-23
21,2021,2021-05-24,2021-05-30
22,2021,2021-05-31,2021-06-06
23,2021,2021-06-07,2020-06-13
24,2021,2021-06-14,2021-06-20
25,2021,2021-06-21,2021-06-27
26,2021,2021-06-28,2021-07-04
27,2021,2021-07-05,2021-07-11
28,2021,2021-07-12,2021-07-18
29,2021,2021-07-19,2021-07-25
30,2021,2021-07-26,2021-08-01
31,2021,2021-08-02,2021-08-08
32,2021,2021-08-09,2021-08-15
33,2021,2021-08-16,2021-08-22
34,2021,2021-08-23,2021-08-29
35,2021,2021-08-30,2021-09-05
36,2021,2021-09-06,2021-09-12
37,2021,2021-09-13,2021-09-19
38,2021,2021-09-20,2021-09-26
39,2021,2021-09-27,2021-10-03
40,2021,2021-10-04,2021-10-10
41,2021,2021-10-11,2021-10-17
42,2021,2021-10-18,2021-10-24
43,2021,2021-10-25,2021-10-31
44,2021,2021-11-01,2021-11-07
45,2021,2021-11-08,2021-11-14
46,2021,2021-11-15,2021-11-21
47,2021,2021-11-22,2021-11-28
48,2021,2021-11-29,2021-12-05
49,2021,2021-12-06,2021-12-12
50,2021,2021-12-13,2021-12-19
51,2021,2021-12-20,2021-12-26
52,2021,2021-12-27,2022-01-02
1,2022,2022-01-03,2022-01-09
2,2022,2022-01-10,2022-01-16
3,2022,2022-01-17,2022-01-23
4,2022,2022-01-24,2022-01-30
5,2022,2022-01-31,2022-02-06
6,2022,2022-02-07,2022-02-13
7,2022,2022-02-14,2022-02-20
8,2022,2022-02-21,2022-02-27
9,2022,2022-02-28,2022-03-06
10,2022,2022-03-07,2022-03-13
11,2022,2022-03-14,2022-03-20
12,2022,2022-03-21,2022-03-27
13,2022,2022-03-28,2022-04-03
14,2022,2022-04-04,2022-04-10
15,2022,2022-04-11,2022-04-17
16,2022,2022-04-18,2022-04-24
17,2022,2022-04-25,2022-05-01
18,2022,2022-05-02,2022-05-08
19,2022,2022-05-09,2022-05-15
20,2022,2022-05-16,2022-05-22
21,2022,2022-05-23,2022-05-29
22,2022,2022-05-30,2022-06-05
23,2022,2022-06-06,2022-06-12
24,2022,2022-06-13,2022-06-19
