year_week	from_date	to_date
2020-01	2019-12-30	2020-01-05
2020-02	2020-01-06	2020-01-12
2020-03	2020-01-13	2020-01-19
2020-04	2020-01-20	2020-01-26
2020-05	2020-01-27	2020-02-02
2020-06	2020-02-03	2022-02-09
2020-07	2020-02-10	2020-02-16
2020-08	2020-02-17	2020-02-23
2020-09	2020-02-24	2020-03-01
2020-10	2020-03-02	2020-03-08
2020-11	2020-03-09	2020-03-15
2020-12	2020-03-16	2020-03-22
2020-13	2020-03-23	2020-03-29
2020-14	2020-03-30	2020-04-05
2020-15	2020-04-06	2020-04-12
2020-16	2020-04-13	2020-04-19
2020-17	2020-04-20	2020-04-26
2020-18	2020-04-27	2020-05-03
2020-19	2020-05-04	2020-05-10
2020-20	2020-05-11	2020-05-17
2020-21	2020-05-18	2020-05-24
2020-22	2020-05-25	2020-05-31
2020-23	2020-06-01	2020-06-07
2020-24	2020-06-08	2020-06-14
2020-25	2020-06-15	2020-06-21
2020-26	2020-06-22	2020-06-28
2020-27	2020-06-29	2020-07-05
2020-28	2020-07-06	2020-07-12
2020-29	2020-07-13	2020-07-19
2020-30	2020-07-20	2020-07-26
2020-31	2020-07-27	2020-08-02
2020-32	2020-08-03	2020-08-09
2020-33	2020-08-10	2020-08-16
2020-34	2020-08-17	2020-08-23
2020-35	2020-08-24	2020-08-30
2020-36	2020-08-31	2020-09-06
2020-37	2020-09-07	2020-09-13
2020-38	2020-09-14	2020-09-20
2020-39	2020-09-21	2020-09-27
2020-40	2020-09-28	2020-10-04
2020-41	2020-10-05	2020-10-11
2020-42	2020-10-12	2020-10-18
2020-43	2020-10-19	2020-10-25
2020-44	2020-10-26	2020-11-01
2020-45	2020-11-02	2020-11-08
2020-46	2020-11-09	2020-11-15
2020-47	2020-11-16	2020-11-22
2020-48	2020-11-23	2020-11-29
2020-49	2020-11-30	2020-12-06
2020-50	2020-12-07	2020-12-13
2020-51	2020-12-14	2020-12-20
2020-52	2020-12-21	2020-12-27
2020-53	2020-12-28	2020-01-03
2021-01	2021-01-04	2021-01-10
2021-02	2021-01-11	2021-01-17
2021-03	2021-01-18	2021-01-24
2021-04	2021-01-25	2021-01-31
2021-05	2021-02-01	2021-02-07
2021-06	2021-02-08	2021-02-14
2021-07	2021-02-15	2021-02-21
2021-08	2021-02-22	2021-02-28
2021-09	2021-03-01	2021-03-07
2021-10	2021-03-08	2021-03-14
2021-11	2021-03-15	2021-03-21
2021-12	2021-03-22	2021-03-28
2021-13	2021-03-29	2021-04-04
2021-14	2021-04-05	2021-04-11
2021-15	2021-04-12	2021-04-18
2021-16	2021-04-19	2021-04-25
2021-17	2021-04-26	2021-05-02
2021-18	2021-05-03	2021-05-09
2021-19	2021-05-10	2021-05-16
2021-20	2021-05-17	2021-05-23
2021-21	2021-05-24	2021-05-30
2021-22	2021-05-31	2021-06-06
2021-23	2021-06-07	2020-06-13
2021-24	2021-06-14	2021-06-20
2021-25	2021-06-21	2021-06-27
2021-26	2021-06-28	2021-07-04
2021-27	2021-07-05	2021-07-11
2021-28	2021-07-12	2021-07-18
2021-29	2021-07-19	2021-07-25
2021-30	2021-07-26	2021-08-01
2021-31	2021-08-02	2021-08-08
2021-32	2021-08-09	2021-08-15
2021-33	2021-08-16	2021-08-22
2021-34	2021-08-23	2021-08-29
2021-35	2021-08-30	2021-09-05
2021-36	2021-09-06	2021-09-12
2021-37	2021-09-13	2021-09-19
2021-38	2021-09-20	2021-09-26
2021-39	2021-09-27	2021-10-03
2021-40	2021-10-04	2021-10-10
2021-41	2021-10-11	2021-10-17
2021-42	2021-10-18	2021-10-24
2021-43	2021-10-25	2021-10-31
2021-44	2021-11-01	2021-11-07
2021-45	2021-11-08	2021-11-14
2021-46	2021-11-15	2021-11-21
2021-47	2021-11-22	2021-11-28
2021-48	2021-11-29	2021-12-05
2021-49	2021-12-06	2021-12-12
2021-50	2021-12-13	2021-12-19
2021-51	2021-12-20	2021-12-26
2021-52	2021-12-27	2022-01-02
2022-01	2022-01-03	2022-01-09
2022-02	2022-01-10	2022-01-16
2022-03	2022-01-17	2022-01-23
2022-04	2022-01-24	2022-01-30
2022-05	2022-01-31	2022-02-06
2022-06	2022-02-07	2022-02-13
2022-07	2022-02-14	2022-02-20
2022-08	2022-02-21	2022-02-27
2022-09	2022-02-28	2022-03-06
2022-10	2022-03-07	2022-03-13
2022-11	2022-03-14	2022-03-20
2022-12	2022-03-21	2022-03-27
2022-13	2022-03-28	2022-04-03
2022-14	2022-04-04	2022-04-10
2022-15	2022-04-11	2022-04-17
2022-16	2022-04-18	2022-04-24
2022-17	2022-04-25	2022-05-01
2022-18	2022-05-02	2022-05-08
2022-19	2022-05-09	2022-05-15
2022-20	2022-05-16	2022-05-22
2022-21	2022-05-23	2022-05-29
2022-22	2022-05-30	2022-06-05
2022-23	2022-06-06	2022-06-12
2022-24	2022-06-13	2022-06-19
